Ниҷер	1
Chingerezi	1
nokugranta	1
|+<big><big>'''isiSuth	1
Spanyol	7
ಅಮೇರಿ	4
alpinus''	1
президенттері	1
Ubukirisitu	1
Iranas	1
Sodwa”.	1
Frantza	1
(livsmedel)	1
sameint	1
ᐊᒥᐊᕆ	1
Elfe	1
Tuneżija	1
союз	1
通貨	1
cas	2
car	2
विन्स्ट	2
notable_idea	1
Lives	1
can	17
მადაგასკარი	1
сот	1
cal	1
Huny	4
|blank1_inf	1
Hunt	1
*1973	1
ئیتالیا	1
Camerú	1
Nattverde	1
ماڵتا	1
//z//	1
آفریقا	20
4,697.3	1
Huni	1
Project.jpg|''	1
Ṭelyan	1
500,000–1,000,000	1
সিন্ধুঘোটক	1
ديم	1
Hund	8
گواتیمالا	1
weSwidi	1
Andje	1
ಪಾಕಿಸ್ತಾನ	1
Seisimane	1
Josep	10
miscellaneous.png|100px|center	1
br'''a'''	1
believ	1
Egyptian	1
Galissar	2
valuabl	1
Ngurunguru	1
januoari	1
Мушхаваа	1
独眼巨人	1
(Леонард	3
Riegádeami	11
Eoforwic	2
Andil	1
Zirafah	1
སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	1
Siʼánígíí	5
flat	1
(צ'ילה)	1
Huma	6
objections	1
Boklísto	1
bading	1
Huly	8
Iunait	1
flag	2
إليزابيث	1
Affairs	2
abansundu''	1
Kompiyuter	1
Sandbox|Sandbox	1
ភាសាជប៉ុន	1
слі	1
ኔልሰ	1
Organizacj	2
.<ref>	3
Elch	1
Castl	1
Huli	2
Odúm	1
이집트	1
دون	2
{{anchor|top}}	1
دوم	2
Királyság	2
36.6	1
ಒಬಾಮ	1
//www.alextourism.co.za	1
Introductio	1
Израйль	1
Marokas	1
špansk	1
//www.anc.org.za/ancdocs/history/mbeki/bio	2
disabilities."</ref>	1
巴黎	7
Wiekanama	2
Arctocephalus_pusillus_-_SE_Tasmania.jpg|	1
ngaphants	1
Боланнар	1
แม่น้ำ	1
objection.	1
Antienne	1
Botswana.svg	2
நெல்சன	1
Liotuàinia	1
Elan	1
Skotland	6
دهب	1
קוסט	1
ribbon.PNG|20px	1
Camero	1
Зымбабвэ	1
AO&hl	1
iTshile	1
ܣܕܪܐ	20
روزنامه‌نگارا	1
Chilatini	1
Nijeria	2
sokulihlukanis	1
Camera	1
одиссе	1
Ефиопия	1
Andes	1
Ander	1
Republy	2
Náhookǫsj	1
