Ikhasi Elikhulu	[id:3]	[namespace:]	false	false	true	false	false
Wikipedia:Sandbox	[id:5]	[namespace:Wikipedia]	false	false	false	true	false
Sandbox	[id:8]	[namespace:]	false	false	true	false	false
Wikipedia:General disclaimer	[id:603]	[namespace:Wikipedia]	false	false	false	true	false
Ukhamba	[id:792]	[namespace:]	false	false	true	false	false
Uphiko Lwezilimi Kuzwelonke	[id:794]	[namespace:]	false	false	true	false	false
IsiZulu	[id:1031]	[namespace:]	false	false	true	false	false
KwaZulu-Natal	[id:1033]	[namespace:]	false	false	true	false	false
IRiphabliki yaseNingizimu Afrika	[id:1520]	[namespace:]	false	false	true	false	false
IGoli	[id:1590]	[namespace:]	false	false	true	false	false
Category:INingizimu Afrika	[id:1591]	[namespace:Category]	true	false	false	false	false
INingizimu Afrika	[id:1619]	[namespace:]	false	false	true	false	false
IsiNguni	[id:1624]	[namespace:]	false	false	true	false	false
True Jesus Church	[id:1691]	[namespace:]	false	false	true	false	false
Ukubingelela	[id:1693]	[namespace:]	false	false	true	false	false
UNkulunkulu	[id:1695]	[namespace:]	false	false	true	false	false
IBhayibheli	[id:1696]	[namespace:]	false	false	true	false	false
Ingelosi	[id:1700]	[namespace:]	false	false	true	false	false
Ikati	[id:1702]	[namespace:]	false	false	true	false	false
Inja	[id:1703]	[namespace:]	false	false	true	false	false
Ibhubesi	[id:1705]	[namespace:]	false	false	true	false	false
Indlulamithi	[id:1706]	[namespace:]	false	false	true	false	false
Category:Ubukrestu	[id:1711]	[namespace:Category]	true	false	false	false	false
Imvu	[id:1712]	[namespace:]	false	false	true	false	false
Category:Isilwane	[id:1717]	[namespace:Category]	true	false	false	false	false
IKapa	[id:1718]	[namespace:]	false	false	true	false	false
IThekwini	[id:1720]	[namespace:]	false	false	true	false	false
IRashiya	[id:1722]	[namespace:]	false	false	true	false	false
IJalimani	[id:1723]	[namespace:]	false	false	true	false	false
INgilandi	[id:1724]	[namespace:]	false	false	true	false	false
I-Ostreliya	[id:1726]	[namespace:]	false	false	true	false	false
IsiNgisi	[id:1728]	[namespace:]	false	false	true	false	false
Senzangakona	[id:1742]	[namespace:]	false	false	true	false	false
Dingane	[id:1743]	[namespace:]	false	false	true	false	false
AmaZulu	[id:1744]	[namespace:]	false	false	true	false	false
IsiHolandi	[id:1750]	[namespace:]	false	false	true	false	false
IsiRashiya	[id:1751]	[namespace:]	false	false	true	false	false
Usuku wenkululeko	[id:1861]	[namespace:]	false	false	true	false	false
Isi-Dutch	[id:1863]	[namespace:]	false	false	true	false	false
Izifundazwe zaseNingizimu Afrika	[id:1865]	[namespace:]	false	false	true	false	false
EGoli	[id:1866]	[namespace:]	false	false	true	false	false
IGauteng	[id:1867]	[namespace:]	false	false	true	false	false
Wikipedia:Babel	[id:1870]	[namespace:Wikipedia]	false	false	false	true	false
UBudha	[id:1871]	[namespace:]	false	false	true	false	false
UBuddha	[id:1872]	[namespace:]	false	false	true	false	false
Category:Ububudha	[id:1875]	[namespace:Category]	true	false	false	false	false
UbuBudha	[id:1876]	[namespace:]	false	false	true	false	false
Usuku basebenzi	[id:1879]	[namespace:]	false	false	true	false	false
Ibhola	[id:1880]	[namespace:]	false	false	true	false	false
Category:Candidates for speedy deletion	[id:1881]	[namespace:Category]	true	false	false	false	false
Uphuthu	[id:1882]	[namespace:]	false	false	true	false	false
IsiXhosa	[id:1883]	[namespace:]	false	false	true	false	false
IsiBhunu	[id:1885]	[namespace:]	false	false	true	false	false
Umakhalekhukhwini	[id:1886]	[namespace:]	false	false	true	false	false
Main Page	[id:1888]	[namespace:]	false	false	true	false	false
Category:Umdlalo	[id:1892]	[namespace:Category]	true	false	false	false	false
KwaXhosa	[id:1899]	[namespace:]	false	false	true	false	false
Izilimi zaseNingizimu Afrika	[id:1901]	[namespace:]	false	false	true	false	false
Mpuma-Koloni	[id:1905]	[namespace:]	false	false	true	false	false
Gauteng	[id:1907]	[namespace:]	false	false	true	false	false
Category:Stubs	[id:1912]	[namespace:Category]	true	false	false	false	false
IFleyistata	[id:1915]	[namespace:]	false	false	true	false	false
IsiSuthu	[id:1916]	[namespace:]	false	false	true	false	false
Category:Izilimi zaseNingizimu Afrika	[id:1918]	[namespace:Category]	true	false	false	false	false
Kwaxhosa	[id:1919]	[namespace:]	false	false	true	false	false
Mpumalanga	[id:1921]	[namespace:]	false	false	true	false	false
Limpopo	[id:1929]	[namespace:]	false	false	true	false	false
Mpande	[id:1930]	[namespace:]	false	false	true	false	false
IButswana	[id:1931]	[namespace:]	false	false	true	false	false
IKipi laseNtshonalanga	[id:1933]	[namespace:]	false	false	true	false	false
IAfrika	[id:2016]	[namespace:]	false	false	true	false	false
IsiKotilandi	[id:2018]	[namespace:]	false	false	true	false	false
Mosovce	[id:2096]	[namespace:]	false	false	true	false	false
Mošovce	[id:2097]	[namespace:]	false	false	true	false	false
